# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\Mrpip\Documents\Repositorios Git\microprocessor_fibonacci_dd2025\fpga_cyclonev\microprocessor_cyclonev.csv
# Generated on: Tue Dec 02 21:30:00 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
arst_n,Input,PIN_P11,3B,B3B_N0,PIN_C14,,,,,,,,,,,,,,
baud_sel[2],Input,,,,PIN_AF17,,,,,,,,,,,,,,
baud_sel[1],Input,,,,PIN_AB25,,,,,,,,,,,,,,
baud_sel[0],Input,,,,PIN_V15,,,,,,,,,,,,,,
busy,Output,PIN_J10,8A,B8A_N0,PIN_C10,,,,,,,,,,,,,,
clk,Input,PIN_R20,5B,B5B_N0,PIN_P11,,,,,,,,,,,,,,
data_out[31],Output,,,,PIN_H23,,,,,,,,,,,,,,
data_out[30],Output,,,,PIN_C19,,,,,,,,,,,,,,
data_out[29],Output,,,,PIN_M9,,,,,,,,,,,,,,
data_out[28],Output,,,,PIN_N23,,,,,,,,,,,,,,
data_out[27],Output,,,,PIN_H22,,,,,,,,,,,,,,
data_out[26],Output,,,,PIN_G26,,,,,,,,,,,,,,
data_out[25],Output,,,,PIN_B25,,,,,,,,,,,,,,
data_out[24],Output,,,,PIN_D16,,,,,,,,,,,,,,
data_out[23],Output,,,,PIN_L24,,,,,,,,,,,,,,
data_out[22],Output,,,,PIN_H25,,,,,,,,,,,,,,
data_out[21],Output,,,,PIN_G15,,,,,,,,,,,,,,
data_out[20],Output,,,,PIN_M26,,,,,,,,,,,,,,
data_out[19],Output,,,,PIN_J25,,,,,,,,,,,,,,
data_out[18],Output,,,,PIN_J12,,,,,,,,,,,,,,
data_out[17],Output,,,,PIN_A22,,,,,,,,,,,,,,
data_out[16],Output,,,,PIN_U26,,,,,,,,,,,,,,
data_out[15],Output,,,,PIN_A24,,,,,,,,,,,,,,
data_out[14],Output,,,,PIN_B22,,,,,,,,,,,,,,
data_out[13],Output,,,,PIN_G24,,,,,,,,,,,,,,
data_out[12],Output,,,,PIN_H9,,,,,,,,,,,,,,
data_out[11],Output,,,,PIN_H18,,,,,,,,,,,,,,
data_out[10],Output,,,,PIN_D21,,,,,,,,,,,,,,
data_out[9],Output,,,,PIN_G25,,,,,,,,,,,,,,
data_out[8],Output,,,,PIN_J26,,,,,,,,,,,,,,
data_out[7],Output,,,,PIN_G17,,,,,,,,,,,,,,
data_out[6],Output,,,,PIN_C20,,,,,,,,,,,,,,
data_out[5],Output,,,,PIN_B15,,,,,,,,,,,,,,
data_out[4],Output,,,,PIN_G20,,,,,,,,,,,,,,
data_out[3],Output,,,,PIN_E20,,,,,,,,,,,,,,
data_out[2],Output,,,,PIN_J20,,,,,,,,,,,,,,
data_out[1],Output,,,,PIN_M10,,,,,,,,,,,,,,
data_out[0],Output,,,,PIN_L23,,,,,,,,,,,,,,
display[55],Output,,,,PIN_K26,,,,,,,,,,,,,,
display[54],Output,,,,PIN_D26,,,,,,,,,,,,,,
display[53],Output,,,,PIN_E26,,,,,,,,,,,,,,
display[52],Output,,,,PIN_K24,,,,,,,,,,,,,,
display[51],Output,,,,PIN_K25,,,,,,,,,,,,,,
display[50],Output,,,,PIN_K23,,,,,,,,,,,,,,
display[49],Output,,,,PIN_F24,,,,,,,,,,,,,,
display[48],Output,,,,PIN_D25,,,,,,,,,,,,,,
display[47],Output,,,,PIN_C25,,,,,,,,,,,,,,
display[46],Output,,,,PIN_E23,,,,,,,,,,,,,,
display[45],Output,,,,PIN_H19,,,,,,,,,,,,,,
display[44],Output,,,,PIN_D18,,,,,,,,,,,,,,
display[43],Output,,,,PIN_F23,,,,,,,,,,,,,,
display[42],Output,,,,PIN_L22,,,,,,,,,,,,,,
display[41],Output,,,,PIN_H15,,,,,,,,,,,,,,
display[40],Output,,,,PIN_G22,,,,,,,,,,,,,,
display[39],Output,,,,PIN_H20,,,,,,,,,,,,,,
display[38],Output,,,,PIN_E21,,,,,,,,,,,,,,
display[37],Output,,,,PIN_C23,,,,,,,,,,,,,,
display[36],Output,,,,PIN_N25,,,,,,,,,,,,,,
display[35],Output,,,,PIN_K21,,,,,,,,,,,,,,
display[34],Output,,,,PIN_C13,,,,,,,,,,,,,,
display[33],Output,,,,PIN_C12,,,,,,,,,,,,,,
display[32],Output,,,,PIN_H14,,,,,,,,,,,,,,
display[31],Output,,,,PIN_G11,,,,,,,,,,,,,,
display[30],Output,,,,PIN_A11,,,,,,,,,,,,,,
display[29],Output,,,,PIN_AE11,,,,,,,,,,,,,,
display[28],Output,,,,PIN_A12,,,,,,,,,,,,,,
display[27],Output,PIN_Y24,5A,B5A_N0,PIN_C9,,,,,,,,,,,,,,
display[26],Output,PIN_Y23,5A,B5A_N0,PIN_M11,,,,,,,,,,,,,,
display[25],Output,PIN_AA23,5A,B5A_N0,PIN_K8,,,,,,,,,,,,,,
